date published,preview,risk score,source
2018-02-18T23:48:32Z,http://www.dailymail.co.uk/news/article-5406837/Jamie-Oliver-puts-Barbecoa-steak-restaurants-sale.html,3.0,Daily Mail
2018-04-20T00:29:51Z,http://www.dailymail.co.uk/news/article-5636643/Deliveroo-effect-seen-Brits-splurge-takeaways-soar-73-CENT.html,3.0,Daily Mail
2018-02-22T06:00:28Z,https://www.theguardian.com/lifeandstyle/2018/feb/22/casual-dining-crunch-jamies-italian-strada-byron-struggling,3.0,The Guardian (AU)
2018-04-16T22:38:36Z,http://www.thisismoney.co.uk/money/investing/article-5622959/Jamie-Oliver-open-hundreds-restaurants-staff-canteens.html,3.0,Thisismoney.co.uk
2018-02-26T06:00:08Z,https://www.theguardian.com/business/2018/feb/26/gig-economy-pizza-express-dishes-up-live-music-to-beat-restaurant-blues,3.0,The Guardian (AU)
2018-03-06T15:57:46Z,https://www.hotukdeals.com/deals/5-for-any-pizza-after-12pm-strada-2905080,2.25,Hotukdeals.com
2018-01-31T18:32:48Z,https://dailycoffeenews.com/2018/01/31/olympia-coffee-roasting-opens-its-first-seattle-shop/,2.0,Dailycoffeenews.com
2018-03-15T22:34:34Z,http://www.dailymail.co.uk/news/article-5507287/HARRY-WALLOP-crisis-engulfing-High-Street-restaurants.html,2.0,Daily Mail
2018-04-05T16:21:34Z,https://www.nytimes.com/2018/04/05/dining/labor-shortage-restaurants-employment.html,2.0,The New York Times
2018-04-20T23:31:09Z,https://dailycoffeenews.com/2018/04/20/la-marzocco-and-modbar-reveal-the-modbar-av-system-at-sca-expo/,2.0,Dailycoffeenews.com
